ChEMBL_ID	UniProt
CHEMBL45	Q92847
CHEMBL45	P43140
CHEMBL45	P22002
CHEMBL45	P35367
CHEMBL45	P14416
CHEMBL45	P03372
CHEMBL45	P10275
CHEMBL45	Q99714
CHEMBL45	P29476
CHEMBL45	P21453
CHEMBL45	P11511
CHEMBL45	Q14432
CHEMBL45	P41968
CHEMBL45	P32245
CHEMBL45	Q99720
CHEMBL45	P10145
CHEMBL45	O14965
CHEMBL45	Q5NUL3
CHEMBL45	P06401
CHEMBL45	P62813
CHEMBL45	P48730
CHEMBL45	P22607
CHEMBL45	P06239
CHEMBL45	P49238
CHEMBL45	O75496
CHEMBL45	P18825
CHEMBL45	P00352
CHEMBL45	O42275
CHEMBL45	P05181
CHEMBL45	P06276
CHEMBL45	P17948
CHEMBL45	P23795
CHEMBL45	P46663
CHEMBL45	Q16678
CHEMBL45	P12822
CHEMBL45	P51050
CHEMBL45	P28223
CHEMBL45	P48039
CHEMBL45	P04035
CHEMBL45	P18089
CHEMBL45	P51679
CHEMBL45	P17252
CHEMBL45	Q13936
CHEMBL45	P49841
CHEMBL45	P08575
CHEMBL45	Q9Y6L6
CHEMBL45	Q9N1N9
CHEMBL45	P25929
CHEMBL45	O15164
CHEMBL45	P19327
CHEMBL45	O89049
CHEMBL45	P00734
CHEMBL45	P49286
CHEMBL45	P32239
CHEMBL45	Q92731
CHEMBL45	P08172
CHEMBL45	P49146
CHEMBL45	P54132
CHEMBL45	Q12809
CHEMBL45	P08912
CHEMBL45	P15207
CHEMBL45	P21554
CHEMBL45	Q96KQ7
CHEMBL45	P29475
CHEMBL45	Q03164
CHEMBL45	Q63921
CHEMBL45	P35354
CHEMBL45	P20781
CHEMBL45	P34998
CHEMBL45	P33261
CHEMBL45	P00533
CHEMBL45	Q99549
CHEMBL45	Q9R1U7
CHEMBL45	Q96QE3
CHEMBL45	P18507
CHEMBL45	P35348
CHEMBL45	Q01668
CHEMBL45	O43193
CHEMBL45	P12530
CHEMBL45	Q08499
CHEMBL45	P25090
CHEMBL45	Q9HC97
CHEMBL45	Q16236
CHEMBL45	O15438
CHEMBL45	P37288
CHEMBL45	P04626
CHEMBL45	P21397
CHEMBL45	Q01453
CHEMBL45	P03956
CHEMBL45	P27361
CHEMBL45	P48546
CHEMBL45	P07550
CHEMBL45	Q9Y5N1
CHEMBL45	Q99808
CHEMBL45	Q9NUW8
CHEMBL45	P22303
CHEMBL45	P04150
CHEMBL45	Q8TDV5
CHEMBL45	Q01959
CHEMBL45	P41597
CHEMBL45	Q9NPD5
CHEMBL45	P25105
CHEMBL45	P08311
CHEMBL45	O15648
CHEMBL45	P29274
CHEMBL45	P81908
CHEMBL45	P05164
CHEMBL45	P23219
CHEMBL45	P15428
CHEMBL45	P21728
CHEMBL45	O60840
CHEMBL45	Q690N0
CHEMBL45	P47870
CHEMBL45	P47869
CHEMBL45	P97612
CHEMBL45	P21452
CHEMBL45	P16083
CHEMBL45	P41595
CHEMBL45	O00255
CHEMBL45	P10635
CHEMBL45	P43681
CHEMBL45	P28335
CHEMBL45	P29477
CHEMBL45	Q9UBN7
CHEMBL45	P0DTD1
CHEMBL45	P04798
CHEMBL45	Q13324
CHEMBL45	P07727
CHEMBL110	P11712
CHEMBL110	P11229
CHEMBL110	O15439
CHEMBL110	P25021
CHEMBL110	P27815
CHEMBL110	Q92887
CHEMBL110	Q197X6
CHEMBL110	P30556
CHEMBL110	P25101
CHEMBL110	P41145
CHEMBL110	P30542
CHEMBL110	P35372
CHEMBL110	Q8WS26
CHEMBL110	P32238
CHEMBL110	O75469
CHEMBL110	P21731
CHEMBL110	P20309
CHEMBL110	P41143
CHEMBL110	P31645
CHEMBL110	P08908
CHEMBL110	P28593
CHEMBL110	P08588
CHEMBL110	P30411
CHEMBL110	P35462
CHEMBL110	O95342
CHEMBL110	P0DMS8
CHEMBL110	P22830
CHEMBL110	P46098
CHEMBL110	P23975
CHEMBL110	P05177
CHEMBL110	Q99700
CHEMBL110	P08684
CHEMBL110	P35439
CHEMBL110	P08913
CHEMBL110	P30518
CHEMBL110	Q92847
CHEMBL110	P22002
CHEMBL110	P35367
CHEMBL110	P14416
CHEMBL110	P03372
CHEMBL110	P10275
CHEMBL110	Q14432
CHEMBL110	P41968
CHEMBL110	P08397
CHEMBL110	P06401
CHEMBL110	P62813
CHEMBL110	O75496
CHEMBL110	P18825
CHEMBL110	P28223
CHEMBL110	P18089
CHEMBL110	P25779
CHEMBL110	P25929
CHEMBL110	O89049
CHEMBL110	P00734
CHEMBL110	P32239
CHEMBL110	P08172
CHEMBL110	Q12809
CHEMBL110	P21554
CHEMBL110	P15207
CHEMBL110	Q7Z1V1
CHEMBL110	Q63921
CHEMBL110	P35354
CHEMBL110	P33261
CHEMBL110	P35348
CHEMBL110	O43193
CHEMBL110	Q08499
CHEMBL110	O15438
CHEMBL110	P37288
CHEMBL110	P21397
CHEMBL110	P07550
CHEMBL110	Q9Y5N1
CHEMBL110	Q99808
CHEMBL110	P52270
CHEMBL110	P22303
CHEMBL110	P04150
CHEMBL110	Q01959
CHEMBL110	P04406
CHEMBL110	P29274
CHEMBL110	P23219
CHEMBL110	P21728
CHEMBL110	P41595
CHEMBL110	P10635
CHEMBL110	P43681
CHEMBL110	P28335
CHEMBL110	Q9UBN7
CHEMBL110	Q96GD4
CHEMBL110	P0DTD1
CHEMBL110	P00811
CHEMBL17860	Q14432
CHEMBL17860	P41968
CHEMBL17860	P11229
CHEMBL17860	Q63921
CHEMBL17860	P30411
CHEMBL17860	P35462
CHEMBL17860	P35354
CHEMBL17860	P06401
CHEMBL17860	Q4G017
CHEMBL17860	P62813
CHEMBL17860	P21554
CHEMBL17860	P25021
CHEMBL17860	P0DMS8
CHEMBL17860	P18825
CHEMBL17860	P35348
CHEMBL17860	O43193
CHEMBL17860	P46098
CHEMBL17860	Q08499
CHEMBL17860	P23975
CHEMBL17860	P22086
CHEMBL17860	P28223
CHEMBL17860	P37288
CHEMBL17860	P18089
CHEMBL17860	P21397
CHEMBL17860	P30556
CHEMBL17860	P25101
CHEMBL17860	P41145
